ts,ph,sp,error,t_pulso,accion
2026-06-26T10:18:27,7.18,6.5,-0.68,0.0,prefiltro
2026-06-26T10:18:32,7.19,6.5,-0.69,0.0,prefiltro
2026-06-26T10:18:37,7.19,6.5,-0.69,0.0,prefiltro
2026-06-26T10:18:42,7.2,6.5,-0.7,0.0,prefiltro
2026-06-26T10:18:47,7.2,6.5,-0.7,0.0,prefiltro
2026-06-26T10:18:52,7.21,6.5,-0.71,0.0,prefiltro
2026-06-26T10:18:57,7.21,6.5,-0.71,0.0,prefiltro
2026-06-26T10:19:02,7.21,6.5,-0.71,0.0,prefiltro
2026-06-26T10:19:07,7.22,6.5,-0.72,0.0,prefiltro
2026-06-26T10:19:12,7.22,6.5,-0.72,0.0,prefiltro
2026-06-26T10:19:17,7.22,6.5,-0.72,0.0,prefiltro
2026-06-26T10:19:22,7.2,6.5,-0.7,0.0,prefiltro
2026-06-26T10:19:27,7.17,6.5,-0.67,0.0,prefiltro
2026-06-26T10:19:32,6.72,6.5,-0.22,0.0,prefiltro
2026-06-26T10:19:37,6.69,6.5,-0.19,0.0,prefiltro
2026-06-26T10:19:42,6.23,6.5,0.27,4.61,pulso_5s
2026-06-26T10:19:47,6.45,6.5,0.05,0.0,prefiltro
2026-06-26T10:19:52,6.52,6.5,-0.02,0.0,prefiltro
2026-06-26T10:19:57,6.46,6.5,0.04,0.0,prefiltro
2026-06-26T10:20:02,6.15,6.5,0.35,5.0,pulso_5s
2026-06-26T10:20:07,6.28,6.5,0.22,3.95,pulso_4s
2026-06-26T10:20:12,6.25,6.5,0.25,4.35,pulso_4s
2026-06-26T10:20:17,6.26,6.5,0.24,4.22,pulso_4s
2026-06-26T10:20:22,6.33,6.5,0.17,0.0,prefiltro
2026-06-26T10:20:27,6.36,6.5,0.14,0.0,prefiltro
2026-06-26T10:20:32,6.39,6.5,0.11,0.0,prefiltro
2026-06-26T10:20:37,6.4,6.5,0.1,0.0,prefiltro
2026-06-26T10:20:42,6.41,6.5,0.09,0.0,prefiltro
2026-06-26T10:20:47,6.42,6.5,0.08,0.0,prefiltro
2026-06-26T10:20:52,6.42,6.5,0.08,0.0,prefiltro
2026-06-26T10:20:57,6.43,6.5,0.07,0.0,prefiltro
2026-06-26T10:21:02,6.43,6.5,0.07,0.0,prefiltro
