ts,ph,sp,error,t_pulso,accion
2026-06-26T15:03:35,5.99,7.0,1.01,20.0,pulso_20s
2026-06-26T15:03:55,6.0,7.0,1.0,20.0,pulso_20s
2026-06-26T15:04:15,6.03,7.0,0.97,20.0,pulso_20s
2026-06-26T15:04:35,6.07,7.0,0.93,20.0,pulso_20s
2026-06-26T15:05:35,6.18,7.0,0.82,20.0,pulso_20s
2026-06-26T15:05:55,6.19,7.0,0.81,20.0,pulso_20s
2026-06-26T15:06:15,6.23,7.0,0.77,19.56,pulso_20s
2026-06-26T15:06:35,6.27,7.0,0.73,18.09,pulso_18s
2026-06-26T15:07:35,6.41,7.0,0.59,17.66,pulso_18s
2026-06-26T15:07:55,6.43,7.0,0.57,17.66,pulso_18s
2026-06-26T15:08:15,6.46,7.0,0.54,17.65,pulso_18s
2026-06-26T15:08:35,6.5,7.0,0.5,17.6,pulso_18s
2026-06-26T15:09:55,6.61,7.0,0.39,14.35,pulso_14s
2026-06-26T15:10:15,6.63,7.0,0.37,14.34,pulso_14s
2026-06-26T15:10:35,6.64,7.0,0.36,14.33,pulso_14s
2026-06-26T15:10:55,6.66,7.0,0.34,14.33,pulso_14s
2026-06-26T15:11:15,6.7,7.0,0.3,14.36,pulso_14s
2026-06-26T15:11:35,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T15:11:55,6.78,7.0,0.22,10.0,pulso_10s
2026-06-26T15:12:55,6.85,7.0,0.15,10.0,pulso_10s
2026-06-26T15:13:15,6.87,7.0,0.13,10.0,pulso_10s
2026-06-26T15:13:35,6.89,7.0,0.11,10.0,pulso_10s
2026-06-26T15:13:55,6.91,7.0,0.09,0.0,prefiltro
2026-06-26T15:14:15,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T15:14:35,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T15:14:55,6.96,7.0,0.04,0.0,prefiltro
2026-06-26T15:15:15,6.97,7.0,0.03,0.0,prefiltro
2026-06-26T15:15:35,6.98,7.0,0.02,0.0,prefiltro
2026-06-26T15:15:55,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T15:16:15,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T15:16:35,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T15:16:55,7.03,7.0,-0.03,0.0,prefiltro
2026-06-26T15:17:15,7.04,7.0,-0.04,0.0,prefiltro
2026-06-26T15:17:35,7.05,7.0,-0.05,0.0,prefiltro
2026-06-26T15:17:55,7.06,7.0,-0.06,0.0,prefiltro
