ts,ph,sp,error,t_pulso,accion
2026-06-26T13:01:51,6.5,7.0,0.5,10.0,pulso_10s
2026-06-26T13:02:21,6.54,7.0,0.46,15.0,pulso_15s
2026-06-26T13:02:51,6.57,7.0,0.43,15.0,pulso_15s
2026-06-26T13:03:21,6.62,7.0,0.38,15.0,pulso_15s
2026-06-26T13:04:21,6.67,7.0,0.33,15.0,pulso_15s
2026-06-26T13:04:41,6.7,7.0,0.3,15.0,pulso_15s
2026-06-26T13:05:01,6.75,7.0,0.25,13.06,pulso_13s
2026-06-26T13:05:21,6.78,7.0,0.22,11.85,pulso_12s
2026-06-26T13:05:41,6.82,7.0,0.18,9.96,pulso_10s
2026-06-26T13:06:21,6.87,7.0,0.13,6.25,pulso_6s
2026-06-26T13:06:41,6.89,7.0,0.11,3.59,pulso_4s
2026-06-26T13:07:01,6.91,7.0,0.09,0.0,prefiltro
