ts,ph,sp,error,t_pulso,accion
2026-06-26T16:19:00,6.47,7.0,0.53,17.64,pulso_18s
2026-06-26T16:19:20,6.48,7.0,0.52,17.63,pulso_18s
2026-06-26T16:19:40,6.51,7.0,0.49,16.99,pulso_17s
2026-06-26T16:20:00,6.56,7.0,0.44,14.87,pulso_15s
2026-06-26T16:21:00,6.63,7.0,0.37,14.34,pulso_14s
2026-06-26T16:21:20,6.64,7.0,0.36,14.33,pulso_14s
2026-06-26T16:21:40,6.66,7.0,0.34,14.33,pulso_14s
2026-06-26T16:22:00,6.7,7.0,0.3,14.36,pulso_14s
2026-06-26T16:22:20,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T16:22:40,6.79,7.0,0.21,10.0,pulso_10s
2026-06-26T16:23:40,6.86,7.0,0.14,10.0,pulso_10s
2026-06-26T16:24:00,6.87,7.0,0.13,10.0,pulso_10s
2026-06-26T16:24:20,6.89,7.0,0.11,10.0,pulso_10s
2026-06-26T16:24:40,6.92,7.0,0.08,0.0,prefiltro
2026-06-26T16:25:00,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T16:25:20,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T16:25:40,6.96,7.0,0.04,0.0,prefiltro
2026-06-26T16:26:00,6.97,7.0,0.03,0.0,prefiltro
2026-06-26T16:26:20,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T16:26:40,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T16:27:00,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T16:27:20,7.02,7.0,-0.02,0.0,prefiltro
