ts,ph,sp,error,t_pulso,accion
2026-06-26T13:21:13,5.82,7.0,1.18,20.0,pulso_20s
2026-06-26T13:21:33,5.84,7.0,1.16,20.0,pulso_20s
2026-06-26T13:21:53,5.87,7.0,1.13,20.0,pulso_20s
2026-06-26T13:22:13,5.91,7.0,1.09,20.0,pulso_20s
2026-06-26T13:23:33,6.0,7.0,1.0,20.0,pulso_20s
2026-06-26T13:23:53,6.01,7.0,0.99,20.0,pulso_20s
2026-06-26T13:24:13,6.04,7.0,0.96,20.0,pulso_20s
2026-06-26T13:24:33,6.08,7.0,0.92,20.0,pulso_20s
2026-06-26T13:25:53,6.2,7.0,0.8,20.0,pulso_20s
2026-06-26T13:26:13,6.22,7.0,0.78,19.56,pulso_20s
2026-06-26T13:26:33,6.24,7.0,0.76,19.56,pulso_20s
2026-06-26T13:26:53,6.27,7.0,0.73,18.09,pulso_18s
2026-06-26T13:27:13,6.33,7.0,0.67,17.6,pulso_18s
2026-06-26T13:28:33,6.47,7.0,0.53,17.64,pulso_18s
2026-06-26T13:28:53,6.49,7.0,0.51,17.62,pulso_18s
2026-06-26T13:29:13,6.51,7.0,0.49,16.99,pulso_17s
2026-06-26T13:29:33,6.54,7.0,0.46,15.5,pulso_16s
2026-06-26T13:29:53,6.58,7.0,0.42,14.38,pulso_14s
2026-06-26T13:30:13,6.61,7.0,0.39,14.35,pulso_14s
2026-06-26T13:31:13,6.66,7.0,0.34,14.33,pulso_14s
2026-06-26T13:31:33,6.68,7.0,0.32,14.35,pulso_14s
2026-06-26T13:31:53,6.71,7.0,0.29,14.38,pulso_14s
2026-06-26T13:32:13,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T13:32:33,6.78,7.0,0.22,10.0,pulso_10s
2026-06-26T13:39:41,7.01,7.0,-0.01,0.0,prefiltro
