tiempo_s,ph,temp_ph_C,od_mgL,temp_od_C,temp_prom_C,evento
8.8,8.079999924,20.10000038,8.518403053,19.97999954,20.03999996,
10.8,8.079999924,20.10000038,8.506876945,19.97999954,20.03999996,
12.8,8.079999924,20.10000038,8.493134499,19.96999931,20.03499985,
14.8,8.079999924,20.10000038,8.462104797,19.96999931,20.03499985,
16.8,8.079999924,20.10000038,8.445754051,19.96999931,20.03499985,
18.8,8.079999924,20.10000038,8.432767868,19.95999908,20.02999973,
20.8,8.069999695,20,8.423744202,19.95000076,19.97500038,
22.8,8.069999695,20,8.416185379,19.94000053,19.97000027,
24.8,8.069999695,20,8.412657738,19.93000031,19.96500015,
26.8,8.069999695,20,8.409533501,19.90999985,19.95499992,
28.8,8.069999695,20,8.406600952,19.89999962,19.94999981,
30.8,8.069999695,20,8.403244972,19.88999939,19.94499969,
32.8,8.069999695,20,8.394714355,19.87000084,19.93500042,
34.8,8.069999695,20,8.393982887,19.86000061,19.93000031,
36.8,8.069999695,20,8.394872665,19.85000038,19.92500019,
38.8,8.069999695,20,8.396313667,19.84000015,19.92000008,
40.8,8.069999695,20,8.398237228,19.82999992,19.91499996,
42.8,8.069999695,20,8.399868965,19.81999969,19.90999985,
44.8,8.069999695,20,8.401510239,19.81999969,19.90999985,
46.8,8.069999695,20,8.404353142,19.80999947,19.90499973,
48.8,8.069999695,20,8.416145325,19.79999924,19.89999962,
50.8,8.069999695,20,8.426973343,19.79999924,19.89999962,
52.8,8.090000153,20,8.439873695,19.79000092,19.89500046,
54.8,8.090000153,20,8.454084396,19.79000092,19.89500046,
56.8,8.090000153,20,8.467915535,19.79000092,19.89500046,
58.8,8.069999695,19.89999962,8.491055489,19.78000069,19.84000015,MANTA_ON
60.8,8.06000042,19.89999962,8.499047279,19.78000069,19.84000015,
62.8,8.069999695,19.89999962,8.506227493,19.77000046,19.83500004,
64.8,8.069999695,19.79999924,8.512545586,19.77000046,19.78499985,
66.8,8.069999695,19.79999924,8.528356552,19.77000046,19.78499985,
68.8,8.069999695,19.79999924,8.536692619,19.76000023,19.77999973,
70.8,8.069999695,19.79999924,8.545028687,19.76000023,19.77999973,
72.8,8.069999695,19.79999924,8.551622391,19.76000023,19.77999973,
74.8,8.079999924,19.79999924,8.556656837,19.76000023,19.77999973,
76.8,8.079999924,19.79999924,8.553068161,19.76000023,19.77999973,
78.8,8.079999924,19.79999924,8.546546936,19.76000023,19.77999973,
80.8,8.079999924,19.79999924,8.538778305,19.75,19.77499962,
82.8,8.079999924,19.79999924,8.530441284,19.75,19.77499962,
84.8,8.079999924,19.79999924,8.51667881,19.75,19.77499962,
