tiempo_s,ph,temp_ph_C,od_mgL,temp_od_C,temp_prom_C,evento
8.8,8.079999923706055,20.100000381469727,8.518403053283691,19.979999542236328,20.039999961853027,
10.8,8.079999923706055,20.100000381469727,8.506876945495605,19.979999542236328,20.039999961853027,
12.8,8.079999923706055,20.100000381469727,8.493134498596191,19.969999313354492,20.03499984741211,
14.8,8.079999923706055,20.100000381469727,8.462104797363281,19.969999313354492,20.03499984741211,
16.8,8.079999923706055,20.100000381469727,8.445754051208496,19.969999313354492,20.03499984741211,
18.8,8.079999923706055,20.100000381469727,8.432767868041992,19.959999084472656,20.02999973297119,
20.8,8.069999694824219,20.0,8.423744201660156,19.950000762939453,19.975000381469727,
22.8,8.069999694824219,20.0,8.41618537902832,19.940000534057617,19.97000026702881,
24.8,8.069999694824219,20.0,8.412657737731934,19.93000030517578,19.96500015258789,
26.8,8.069999694824219,20.0,8.409533500671387,19.90999984741211,19.954999923706055,
28.8,8.069999694824219,20.0,8.406600952148438,19.899999618530273,19.949999809265137,
30.8,8.069999694824219,20.0,8.403244972229004,19.889999389648438,19.94499969482422,
32.8,8.069999694824219,20.0,8.39471435546875,19.8700008392334,19.9350004196167,
34.8,8.069999694824219,20.0,8.393982887268066,19.860000610351562,19.93000030517578,
36.8,8.069999694824219,20.0,8.394872665405273,19.850000381469727,19.925000190734863,
38.8,8.069999694824219,20.0,8.396313667297363,19.84000015258789,19.920000076293945,
40.8,8.069999694824219,20.0,8.398237228393555,19.829999923706055,19.914999961853027,
42.8,8.069999694824219,20.0,8.399868965148926,19.81999969482422,19.90999984741211,
44.8,8.069999694824219,20.0,8.401510238647461,19.81999969482422,19.90999984741211,
46.8,8.069999694824219,20.0,8.404353141784668,19.809999465942383,19.90499973297119,
48.8,8.069999694824219,20.0,8.416145324707031,19.799999237060547,19.899999618530273,
50.8,8.069999694824219,20.0,8.426973342895508,19.799999237060547,19.899999618530273,
52.8,8.09000015258789,20.0,8.439873695373535,19.790000915527344,19.895000457763672,
54.8,8.09000015258789,20.0,8.454084396362305,19.790000915527344,19.895000457763672,
56.8,8.09000015258789,20.0,8.467915534973145,19.790000915527344,19.895000457763672,
58.8,8.069999694824219,19.899999618530273,8.491055488586426,19.780000686645508,19.84000015258789,MANTA_ON
60.8,8.0600004196167,19.899999618530273,8.49904727935791,19.780000686645508,19.84000015258789,
62.8,8.069999694824219,19.899999618530273,8.506227493286133,19.770000457763672,19.835000038146973,
64.8,8.069999694824219,19.799999237060547,8.512545585632324,19.770000457763672,19.78499984741211,
66.8,8.069999694824219,19.799999237060547,8.528356552124023,19.770000457763672,19.78499984741211,
68.8,8.069999694824219,19.799999237060547,8.53669261932373,19.760000228881836,19.77999973297119,
70.8,8.069999694824219,19.799999237060547,8.545028686523438,19.760000228881836,19.77999973297119,
72.8,8.069999694824219,19.799999237060547,8.55162239074707,19.760000228881836,19.77999973297119,
74.8,8.079999923706055,19.799999237060547,8.556656837463379,19.760000228881836,19.77999973297119,
76.8,8.079999923706055,19.799999237060547,8.553068161010742,19.760000228881836,19.77999973297119,
78.8,8.079999923706055,19.799999237060547,8.546546936035156,19.760000228881836,19.77999973297119,
80.8,8.079999923706055,19.799999237060547,8.538778305053711,19.75,19.774999618530273,
82.8,8.079999923706055,19.799999237060547,8.530441284179688,19.75,19.774999618530273,
84.8,8.079999923706055,19.799999237060547,8.516678810119629,19.75,19.774999618530273,
86.8,8.079999923706055,19.799999237060547,8.511569023132324,19.75,19.774999618530273,
88.8,8.079999923706055,19.799999237060547,8.503349304199219,19.75,19.774999618530273,
90.8,8.079999923706055,19.799999237060547,8.49370288848877,19.739999771118164,19.769999504089355,
92.8,8.079999923706055,19.799999237060547,8.469219207763672,19.739999771118164,19.769999504089355,
94.8,8.079999923706055,19.799999237060547,8.456079483032227,19.739999771118164,19.769999504089355,
96.8,8.079999923706055,19.799999237060547,8.442380905151367,19.739999771118164,19.769999504089355,
98.8,8.079999923706055,19.799999237060547,8.428548812866211,19.739999771118164,19.769999504089355,
100.8,8.079999923706055,19.799999237060547,8.414016723632812,19.739999771118164,19.769999504089355,
102.8,8.079999923706055,19.799999237060547,8.411340713500977,19.739999771118164,19.769999504089355,
104.8,8.079999923706055,19.799999237060547,8.409704208374023,19.729999542236328,19.764999389648438,
106.8,8.079999923706055,19.799999237060547,8.407564163208008,19.729999542236328,19.764999389648438,
108.8,8.079999923706055,19.799999237060547,8.40522575378418,19.729999542236328,19.764999389648438,
110.8,8.079999923706055,19.799999237060547,8.399917602539062,19.729999542236328,19.764999389648438,
112.8,8.079999923706055,19.799999237060547,8.397035598754883,19.729999542236328,19.764999389648438,
114.8,8.079999923706055,19.799999237060547,8.394078254699707,19.729999542236328,19.764999389648438,
116.8,3.819999933242798,19.799999237060547,8.392093658447266,19.729999542236328,19.764999389648438,
118.8,4.650000095367432,19.799999237060547,8.394001007080078,19.719999313354492,19.75999927520752,
120.8,4.659999847412109,19.799999237060547,8.39647388458252,19.719999313354492,19.75999927520752,
122.8,4.71999979019165,19.799999237060547,8.399179458618164,19.719999313354492,19.75999927520752,
124.8,4.78000020980835,19.799999237060547,8.401995658874512,19.719999313354492,19.75999927520752,
126.8,4.809999942779541,19.799999237060547,8.407217979431152,19.709999084472656,19.7549991607666,
128.8,4.840000152587891,19.799999237060547,8.408297538757324,19.709999084472656,19.7549991607666,
