ts,ph,sp,error,t_pulso,accion
2026-06-26T15:26:37,6.53,7.0,0.47,15.95,pulso_16s
2026-06-26T15:26:57,6.54,7.0,0.46,15.5,pulso_16s
2026-06-26T15:27:17,6.58,7.0,0.42,14.38,pulso_14s
2026-06-26T15:27:37,6.61,7.0,0.39,14.35,pulso_14s
2026-06-26T15:28:57,6.7,7.0,0.3,14.36,pulso_14s
2026-06-26T15:29:17,6.73,7.0,0.27,13.55,pulso_14s
2026-06-26T15:29:37,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T15:29:57,6.79,7.0,0.21,10.0,pulso_10s
2026-06-26T15:30:17,6.82,7.0,0.18,10.0,pulso_10s
2026-06-26T15:30:37,6.84,7.0,0.16,10.0,pulso_10s
2026-06-26T15:30:57,6.87,7.0,0.13,10.0,pulso_10s
2026-06-26T15:31:17,6.9,7.0,0.1,0.0,prefiltro
2026-06-26T15:31:37,6.92,7.0,0.08,0.0,prefiltro
2026-06-26T15:32:17,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T15:32:37,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T15:32:57,6.96,7.0,0.04,0.0,prefiltro
2026-06-26T15:33:17,6.98,7.0,0.02,0.0,prefiltro
2026-06-26T15:33:37,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T15:33:57,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T15:34:17,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T15:34:37,7.02,7.0,-0.02,0.0,prefiltro
2026-06-26T15:34:57,7.04,7.0,-0.04,0.0,prefiltro
