ts,ph,sp,error,t_pulso,accion
2026-06-26T11:37:18,6.94,7.5,0.56,15.0,pulso_15s
2026-06-26T11:37:48,6.96,7.5,0.54,15.0,pulso_15s
2026-06-26T11:38:18,6.99,7.5,0.51,15.0,pulso_15s
2026-06-26T11:38:48,7.03,7.5,0.47,15.0,pulso_15s
2026-06-26T11:40:07,7.12,7.5,0.38,15.0,pulso_15s
2026-06-26T11:40:27,7.14,7.5,0.36,15.0,pulso_15s
2026-06-26T11:40:47,7.17,7.5,0.33,15.0,pulso_15s
2026-06-26T11:41:07,7.2,7.5,0.3,15.0,pulso_15s
2026-06-26T11:41:27,7.23,7.5,0.27,13.83,pulso_14s
2026-06-26T11:41:47,7.25,7.5,0.25,13.06,pulso_13s
2026-06-26T11:42:47,7.31,7.5,0.19,10.49,pulso_10s
2026-06-26T11:43:07,7.32,7.5,0.18,9.96,pulso_10s
2026-06-26T11:43:27,7.34,7.5,0.16,8.76,pulso_9s
2026-06-26T11:43:47,7.36,7.5,0.14,7.2,pulso_7s
2026-06-26T11:44:07,7.38,7.5,0.12,5.05,pulso_5s
2026-06-26T11:44:27,7.39,7.5,0.11,3.59,pulso_4s
2026-06-26T11:44:47,7.41,7.5,0.09,0.0,prefiltro
2026-06-26T11:45:07,7.42,7.5,0.08,0.0,prefiltro
2026-06-26T11:45:27,7.43,7.5,0.07,0.0,prefiltro
