ts,ph,sp,error,t_pulso,accion
2026-06-26T16:37:18,5.87,6.5,0.63,17.64,pulso_18s
2026-06-26T16:37:38,5.88,6.5,0.62,17.65,pulso_18s
2026-06-26T16:37:58,5.91,6.5,0.59,17.66,pulso_18s
2026-06-26T16:39:18,6.0,6.5,0.5,17.6,pulso_18s
2026-06-26T16:39:38,6.02,6.5,0.48,16.44,pulso_16s
2026-06-26T16:39:58,6.03,6.5,0.47,15.95,pulso_16s
2026-06-26T16:40:18,6.06,6.5,0.44,14.87,pulso_15s
2026-06-26T16:40:38,6.1,6.5,0.4,14.36,pulso_14s
2026-06-26T16:40:58,6.14,6.5,0.36,14.33,pulso_14s
2026-06-26T16:41:58,6.22,6.5,0.28,14.39,pulso_14s
2026-06-26T16:42:18,6.23,6.5,0.27,13.55,pulso_14s
2026-06-26T16:42:38,6.24,6.5,0.26,12.77,pulso_13s
2026-06-26T16:42:58,6.27,6.5,0.23,10.64,pulso_11s
2026-06-26T16:43:18,6.32,6.5,0.18,10.0,pulso_10s
2026-06-26T16:43:38,6.37,6.5,0.13,10.0,pulso_10s
2026-06-26T16:44:38,6.44,6.5,0.06,0.0,prefiltro
2026-06-26T16:44:58,6.46,6.5,0.04,0.0,prefiltro
2026-06-26T16:45:18,6.48,6.5,0.02,0.0,prefiltro
2026-06-26T16:45:38,6.48,6.5,0.02,0.0,prefiltro
2026-06-26T16:45:58,6.49,6.5,0.01,0.0,prefiltro
2026-06-26T16:46:18,6.5,6.5,0.0,0.0,prefiltro
2026-06-26T16:46:38,6.51,6.5,-0.01,0.0,prefiltro
2026-06-26T16:46:58,6.52,6.5,-0.02,0.0,prefiltro
