ts,ph,sp,error,t_pulso,accion
2026-06-26T11:31:17,6.59,7.0,0.41,10.0,pulso_10s
2026-06-26T11:31:47,6.61,7.0,0.39,10.0,pulso_10s
2026-06-26T11:32:17,6.63,7.0,0.37,15.0,pulso_15s
2026-06-26T11:32:47,6.66,7.0,0.34,15.0,pulso_15s
2026-06-26T11:33:17,6.69,7.0,0.31,15.0,pulso_15s
2026-06-26T11:33:47,6.74,7.0,0.26,13.44,pulso_13s
2026-06-26T11:34:47,6.83,7.0,0.17,9.38,pulso_9s
2026-06-26T11:35:18,6.85,7.0,0.15,8.03,pulso_8s
2026-06-26T11:35:48,6.88,7.0,0.12,5.05,pulso_5s
2026-06-26T11:36:18,6.91,7.0,0.09,0.0,prefiltro
