ts,ph,sp,error,t_pulso,accion
2026-06-26T13:21:13,5.82,7.0,1.18,20.0,pulso_20s
2026-06-26T13:21:33,5.84,7.0,1.16,20.0,pulso_20s
2026-06-26T13:21:53,5.87,7.0,1.13,20.0,pulso_20s
2026-06-26T13:22:13,5.91,7.0,1.09,20.0,pulso_20s
2026-06-26T13:23:33,6.0,7.0,1.0,20.0,pulso_20s
2026-06-26T13:23:53,6.01,7.0,0.99,20.0,pulso_20s
2026-06-26T13:24:13,6.04,7.0,0.96,20.0,pulso_20s
2026-06-26T13:24:33,6.08,7.0,0.92,20.0,pulso_20s
2026-06-26T13:25:53,6.2,7.0,0.8,20.0,pulso_20s
2026-06-26T13:26:13,6.22,7.0,0.78,19.56,pulso_20s
2026-06-26T13:26:33,6.24,7.0,0.76,19.56,pulso_20s
2026-06-26T13:26:53,6.27,7.0,0.73,18.09,pulso_18s
2026-06-26T13:27:13,6.33,7.0,0.67,17.6,pulso_18s
2026-06-26T13:28:33,6.47,7.0,0.53,17.64,pulso_18s
2026-06-26T13:28:53,6.49,7.0,0.51,17.62,pulso_18s
2026-06-26T13:29:13,6.51,7.0,0.49,16.99,pulso_17s
2026-06-26T13:29:33,6.54,7.0,0.46,15.5,pulso_16s
2026-06-26T13:29:53,6.58,7.0,0.42,14.38,pulso_14s
2026-06-26T13:30:13,6.61,7.0,0.39,14.35,pulso_14s
2026-06-26T13:31:13,6.66,7.0,0.34,14.33,pulso_14s
2026-06-26T13:31:33,6.68,7.0,0.32,14.35,pulso_14s
2026-06-26T13:31:53,6.71,7.0,0.29,14.38,pulso_14s
2026-06-26T13:32:13,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T13:32:33,6.78,7.0,0.22,10.0,pulso_10s
2026-06-26T13:39:41,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T13:40:01,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T13:44:38,5.86,7.0,1.14,20.0,pulso_20s
2026-06-26T13:44:58,5.84,7.0,1.16,20.0,pulso_20s
2026-06-26T13:45:18,5.86,7.0,1.14,20.0,pulso_20s
2026-06-26T13:45:38,5.89,7.0,1.11,20.0,pulso_20s
2026-06-26T13:45:58,5.93,7.0,1.07,20.0,pulso_20s
2026-06-26T13:46:38,6.0,7.0,1.0,20.0,pulso_20s
2026-06-26T13:47:58,6.08,7.0,0.92,20.0,pulso_20s
2026-06-26T13:48:18,6.09,7.0,0.91,20.0,pulso_20s
2026-06-26T13:48:38,6.11,7.0,0.89,20.0,pulso_20s
2026-06-26T13:48:58,6.15,7.0,0.85,20.0,pulso_20s
2026-06-26T13:49:18,6.19,7.0,0.81,20.0,pulso_20s
2026-06-26T13:50:18,6.27,7.0,0.73,18.09,pulso_18s
2026-06-26T13:50:38,6.28,7.0,0.72,17.88,pulso_18s
2026-06-26T13:50:58,6.34,7.0,0.66,17.61,pulso_18s
2026-06-26T13:51:18,6.39,7.0,0.61,17.65,pulso_18s
2026-06-26T13:52:18,6.48,7.0,0.52,17.63,pulso_18s
2026-06-26T13:52:38,6.5,7.0,0.5,17.6,pulso_18s
2026-06-26T13:52:58,6.53,7.0,0.47,15.95,pulso_16s
2026-06-26T13:53:18,6.57,7.0,0.43,14.6,pulso_15s
2026-06-26T13:53:38,6.6,7.0,0.4,14.36,pulso_14s
2026-06-26T13:54:58,6.68,7.0,0.32,14.35,pulso_14s
2026-06-26T13:55:18,6.69,7.0,0.31,14.35,pulso_14s
2026-06-26T13:55:38,6.71,7.0,0.29,14.38,pulso_14s
2026-06-26T13:55:58,6.76,7.0,0.24,11.3,pulso_11s
2026-06-26T13:56:18,6.79,7.0,0.21,10.0,pulso_10s
2026-06-26T13:56:38,6.82,7.0,0.18,10.0,pulso_10s
2026-06-26T13:56:58,6.84,7.0,0.16,10.0,pulso_10s
2026-06-26T13:57:18,6.86,7.0,0.14,10.0,pulso_10s
2026-06-26T13:57:38,6.89,7.0,0.11,10.0,pulso_10s
2026-06-26T13:58:18,6.93,7.0,0.07,0.0,prefiltro
2026-06-26T13:58:38,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T13:58:58,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T13:59:18,6.97,7.0,0.03,0.0,prefiltro
2026-06-26T13:59:38,6.98,7.0,0.02,0.0,prefiltro
2026-06-26T13:59:58,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T14:00:18,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T14:00:38,7.02,7.0,-0.02,0.0,prefiltro
2026-06-26T14:00:58,7.03,7.0,-0.03,0.0,prefiltro
2026-06-26T14:01:18,7.04,7.0,-0.04,0.0,prefiltro
2026-06-26T14:01:38,7.05,7.0,-0.05,0.0,prefiltro
2026-06-26T14:01:58,7.07,7.0,-0.07,0.0,prefiltro
2026-06-26T14:06:41,6.47,7.0,0.53,17.64,pulso_18s
2026-06-26T14:07:01,6.48,7.0,0.52,17.63,pulso_18s
2026-06-26T14:07:21,6.51,7.0,0.49,16.99,pulso_17s
2026-06-26T14:08:41,6.62,7.0,0.38,14.34,pulso_14s
2026-06-26T14:09:01,6.63,7.0,0.37,14.34,pulso_14s
2026-06-26T14:09:21,6.64,7.0,0.36,14.33,pulso_14s
2026-06-26T14:09:41,6.66,7.0,0.34,14.33,pulso_14s
2026-06-26T14:10:01,6.7,7.0,0.3,14.36,pulso_14s
2026-06-26T14:10:21,6.75,7.0,0.25,12.0,pulso_12s
2026-06-26T14:10:41,6.77,7.0,0.23,10.64,pulso_11s
