ts,ph,sp,error,t_pulso,accion
2026-06-26T14:11:01,6.8,7.0,0.2,10.0,pulso_10s
2026-06-26T14:12:21,6.88,7.0,0.12,10.0,pulso_10s
2026-06-26T14:12:41,6.89,7.0,0.11,10.0,pulso_10s
2026-06-26T14:13:01,6.92,7.0,0.08,0.0,prefiltro
2026-06-26T14:13:21,6.94,7.0,0.06,0.0,prefiltro
2026-06-26T14:13:41,6.95,7.0,0.05,0.0,prefiltro
2026-06-26T14:14:01,6.96,7.0,0.04,0.0,prefiltro
2026-06-26T14:14:21,6.98,7.0,0.02,0.0,prefiltro
2026-06-26T14:14:41,6.99,7.0,0.01,0.0,prefiltro
2026-06-26T14:15:01,7.0,7.0,0.0,0.0,prefiltro
2026-06-26T14:15:21,7.01,7.0,-0.01,0.0,prefiltro
2026-06-26T14:15:41,7.03,7.0,-0.03,0.0,prefiltro
