ts,ph,sp,error,t_pulso,accion
2026-06-26T10:56:43,5.52,6.0,0.48,5.0,pulso_5s
2026-06-26T10:56:48,5.52,6.0,0.48,5.0,pulso_5s
2026-06-26T10:56:53,5.52,6.0,0.48,5.0,pulso_5s
2026-06-26T10:56:58,5.52,6.0,0.48,5.0,pulso_5s
2026-06-26T10:57:03,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:08,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:13,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:18,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:23,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:28,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:33,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:38,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:43,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:48,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:53,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:57:58,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:58:03,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:58:08,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:58:53,5.51,6.0,0.49,5.0,pulso_5s
2026-06-26T10:58:58,5.52,6.0,0.48,5.0,pulso_5s
2026-06-26T10:59:03,5.53,6.0,0.47,5.0,pulso_5s
2026-06-26T10:59:08,5.53,6.0,0.47,5.0,pulso_5s
2026-06-26T10:59:13,5.54,6.0,0.46,5.0,pulso_5s
2026-06-26T10:59:18,5.54,6.0,0.46,5.0,pulso_5s
2026-06-26T10:59:23,5.55,6.0,0.45,5.0,pulso_5s
2026-06-26T10:59:28,5.58,6.0,0.42,5.0,pulso_5s
2026-06-26T10:59:33,5.58,6.0,0.42,5.0,pulso_5s
2026-06-26T10:59:38,5.6,6.0,0.4,5.0,pulso_5s
2026-06-26T10:59:43,5.6,6.0,0.4,5.0,pulso_5s
2026-06-26T10:59:48,5.6,6.0,0.4,5.0,pulso_5s
2026-06-26T10:59:53,5.61,6.0,0.39,5.0,pulso_5s
2026-06-26T10:59:58,5.61,6.0,0.39,5.0,pulso_5s
2026-06-26T11:00:03,5.62,6.0,0.38,5.0,pulso_5s
2026-06-26T11:00:08,5.62,6.0,0.38,5.0,pulso_5s
2026-06-26T11:00:13,5.63,6.0,0.37,5.0,pulso_5s
2026-06-26T11:00:18,5.64,6.0,0.36,5.0,pulso_5s
2026-06-26T11:00:23,5.65,6.0,0.35,5.0,pulso_5s
2026-06-26T11:00:28,5.66,6.0,0.34,5.0,pulso_5s
2026-06-26T11:00:33,5.66,6.0,0.34,5.0,pulso_5s
2026-06-26T11:00:38,5.66,6.0,0.34,5.0,pulso_5s
2026-06-26T11:00:43,5.67,6.0,0.33,5.0,pulso_5s
2026-06-26T11:00:48,5.67,6.0,0.33,5.0,pulso_5s
2026-06-26T11:01:13,5.69,6.0,0.31,5.0,pulso_5s
2026-06-26T11:01:18,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:23,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:28,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:33,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:38,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:43,5.7,6.0,0.3,5.0,pulso_5s
2026-06-26T11:01:48,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:01:53,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:01:58,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:03,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:08,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:13,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:18,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:23,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:28,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:33,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:38,5.71,6.0,0.29,4.87,pulso_5s
2026-06-26T11:02:43,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:02:48,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:02:53,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:02:58,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:03,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:08,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:13,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:18,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:23,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:28,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:33,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:38,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:43,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:48,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:53,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:03:58,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:03,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:08,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:13,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:18,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:23,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:28,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:33,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:38,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:43,5.72,6.0,0.28,4.74,pulso_5s
2026-06-26T11:04:48,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:04:53,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:04:58,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:03,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:08,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:13,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:18,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:23,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:28,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:33,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:38,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:43,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:48,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:53,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:05:58,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:06:03,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:06:08,5.73,6.0,0.27,4.61,pulso_5s
2026-06-26T11:06:13,5.74,6.0,0.26,4.48,pulso_4s
2026-06-26T11:06:18,5.74,6.0,0.26,4.48,pulso_4s
2026-06-26T11:06:23,5.75,6.0,0.25,4.35,pulso_4s
2026-06-26T11:06:28,5.75,6.0,0.25,4.35,pulso_4s
2026-06-26T11:07:03,5.76,6.0,0.24,4.22,pulso_4s
2026-06-26T11:07:08,5.76,6.0,0.24,4.22,pulso_4s
2026-06-26T11:07:13,5.76,6.0,0.24,4.22,pulso_4s
2026-06-26T11:07:18,5.76,6.0,0.24,4.22,pulso_4s
2026-06-26T11:07:23,5.77,6.0,0.23,4.09,pulso_4s
2026-06-26T11:07:28,5.78,6.0,0.22,3.95,pulso_4s
2026-06-26T11:07:33,5.77,6.0,0.23,4.09,pulso_4s
2026-06-26T11:07:38,5.78,6.0,0.22,3.95,pulso_4s
2026-06-26T11:07:43,5.78,6.0,0.22,3.95,pulso_4s
2026-06-26T11:07:48,5.78,6.0,0.22,3.95,pulso_4s
2026-06-26T11:07:53,5.79,6.0,0.21,3.81,pulso_4s
2026-06-26T11:07:58,5.8,6.0,0.2,0.0,prefiltro
2026-06-26T11:08:03,5.8,6.0,0.2,0.0,prefiltro
2026-06-26T11:08:08,5.8,6.0,0.2,0.0,prefiltro
2026-06-26T11:08:13,5.81,6.0,0.19,0.0,prefiltro
2026-06-26T11:08:18,5.81,6.0,0.19,0.0,prefiltro
2026-06-26T11:08:23,5.81,6.0,0.19,0.0,prefiltro
2026-06-26T11:08:28,5.81,6.0,0.19,0.0,prefiltro
2026-06-26T11:08:33,5.82,6.0,0.18,0.0,prefiltro
2026-06-26T11:08:38,5.82,6.0,0.18,0.0,prefiltro
2026-06-26T11:08:43,5.82,6.0,0.18,0.0,prefiltro
2026-06-26T11:08:48,5.82,6.0,0.18,0.0,prefiltro
